,year,fips,Deaths,SuicideDeathRate,Population
5210,2002,1001,6,14.22373942,42183
5211,2002,1003,21,14.76170392,142260
5212,2002,1005,5,18.50207223,27024
5213,2002,1007,1,5.371723249,18616
5214,2002,1009,4,8.608259625,46467
5215,2002,1013,3,15.51510137,19336
5216,2002,1015,13,12.14147622,107071
5217,2002,1017,4,11.83887294,33787
5218,2002,1019,5,23.28939401,21469
5219,2002,1021,3,7.851758794,38208
5220,2002,1023,2,13.76462491,14530
5221,2002,1025,4,15.27475465,26187
5222,2002,1027,3,24.11769435,12439
5223,2002,1029,3,22.63296869,13255
5224,2002,1031,7,17.41900164,40186
5225,2002,1033,3,5.763467302,52052
5226,2002,1035,1,7.499625019,13334
5227,2002,1037,1,9.286775632,10768
5228,2002,1039,6,18.56435644,32320
5229,2002,1041,3,23.69106847,12663
5230,2002,1043,8,10.93374153,73168
5231,2002,1045,5,10.8361146,46142
5232,2002,1047,4,9.914241808,40346
5233,2002,1049,10,16.41982201,60902
5234,2002,1051,4,6.049515283,66121
5235,2002,1053,3,8.447135013,35515
5236,2002,1055,13,14.03993822,92593
5237,2002,1057,1,5.961251863,16775
5238,2002,1059,6,21.2630236,28218
5239,2002,1061,4,16.26677511,24590
5240,2002,1065,1,6.153467479,16251
5241,2002,1067,1,6.691648822,14944
5242,2002,1069,10,12.39065249,80706
5243,2002,1071,3,6.515365403,46045
5244,2002,1073,86,15.67523823,548636
5245,2002,1075,3,22.68774106,13223
5246,2002,1077,8,9.987141555,80103
5247,2002,1079,3,9.531071292,31476
5248,2002,1081,10,10.01391935,99861
5249,2002,1083,10,17.25685097,57948
5250,2002,1085,1,8.782715616,11386
5251,2002,1087,2,9.073586789,22042
5252,2002,1089,27,9.696012066,278465
5253,2002,1091,1,5.152248957,19409
5254,2002,1093,5,17.72169845,28214
5255,2002,1095,13,17.23772144,75416
5256,2002,1097,42,10.92634602,384392
5257,2002,1099,1,4.680114195,21367
5258,2002,1101,23,11.54827178,199164
5259,2002,1103,16,15.86388784,100858
5260,2002,1105,1,9.830908376,10172
5261,2002,1107,4,22.59504039,17703
5262,2002,1109,3,11.05786952,27130
5263,2002,1111,4,18.26734256,21897
5264,2002,1113,5,10.85964988,46042
5265,2002,1115,6,8.959503046,66968
5266,2002,1117,14,10.27349512,136273
5267,2002,1119,1,8.084727949,12369
5268,2002,1121,7,9.619348633,72770
5269,2002,1123,6,15.20873996,39451
5270,2002,1125,20,12.21754562,163699
5271,2002,1127,11,17.30049385,63582
5272,2002,1129,2,12.32969607,16221
5273,2002,1133,4,17.53693717,22809
5274,2002,4001,14,22.39211797,62522
5275,2002,4003,20,18.60638199,107490
5276,2002,4005,24,21.36295663,112344
5277,2002,4007,10,20.22122015,49453
5278,2002,4009,8,25.08466073,31892
5279,2002,4012,5,27.69929644,18051
5280,2002,4013,470,15.35199177,3061492
5281,2002,4015,52,33.24638126,156408
5282,2002,4017,26,28.59216575,90934
5283,2002,4019,152,17.91548605,848428
5284,2002,4021,36,18.74765654,192024
5285,2002,4023,1,2.667449118,37489
5286,2002,4025,52,30.31062562,171557
5287,2002,4027,17,10.79700986,157451
5288,2002,5001,4,21.39609521,18695
5289,2002,5003,4,19.82946659,20172
5290,2002,5005,10,26.92659809,37138
5291,2002,5007,14,8.685833406,161182
5292,2002,5009,4,13.47391114,29687
5293,2002,5013,1,21.77226214,4593
5294,2002,5015,3,12.46934619,24059
5295,2002,5017,2,16.73500126,11951
5296,2002,5019,1,4.651595497,21498
5297,2002,5021,2,14.22576286,14059
5298,2002,5023,2,8.727145787,22917
5299,2002,5027,1,4.29000429,23310
5300,2002,5029,4,21.22578933,18845
5301,2002,5031,15,21.13479774,70973
5302,2002,5033,12,24.5594646,48861
5303,2002,5035,4,8.993816751,44475
5304,2002,5037,3,17.06873009,17576
5305,2002,5039,1,13.13887794,7611
5306,2002,5041,2,14.05283867,14232
5307,2002,5043,2,12.11974306,16502
5308,2002,5045,9,10.83971672,83028
5309,2002,5047,4,25.23818537,15849
5310,2002,5051,15,18.67227665,80333
5311,2002,5053,1,7.312079555,13676
5312,2002,5055,5,14.71410494,33981
5313,2002,5057,2,9.365926758,21354
5314,2002,5059,4,14.71291426,27187
5315,2002,5061,3,23.17497103,12945
5316,2002,5063,1,3.510989397,28482
5317,2002,5065,1,8.012178511,12481
5318,2002,5067,3,17.57160429,17073
5319,2002,5069,6,7.768599322,77234
5320,2002,5071,7,32.81608926,21331
5321,2002,5073,4,50.01875703,7997
5322,2002,5075,3,17.6709666,16977
5323,2002,5077,3,27.34232592,10972
5324,2002,5079,1,7.387706856,13536
5325,2002,5081,1,8.383635144,11928
5326,2002,5083,4,18.29826167,21860
5327,2002,5085,6,12.20429998,49163
5328,2002,5089,7,45.4221011,15411
5329,2002,5091,3,8.232485387,36441
5330,2002,5093,10,24.03557265,41605
5331,2002,5095,2,22.96211251,8710
5332,2002,5097,1,12.01634223,8322
5333,2002,5101,1,12.14034236,8237
5334,2002,5103,3,12.12611156,24740
5335,2002,5105,5,56.54829224,8842
5336,2002,5107,1,4.292950974,23294
5337,2002,5109,1,9.604302728,10412
5338,2002,5111,4,18.59254439,21514
5339,2002,5113,2,11.08217432,18047
5340,2002,5115,7,14.46998512,48376
5341,2002,5117,3,33.87151406,8857
5342,2002,5119,55,17.07788135,322054
5343,2002,5121,4,23.846429,16774
5344,2002,5123,2,7.395629183,27043
5345,2002,5125,9,11.53520802,78022
5346,2002,5127,2,21.11486486,9472
5347,2002,5131,13,12.10743956,107372
5348,2002,5133,4,27.13888323,14739
5349,2002,5135,2,12.86339079,15548
5350,2002,5137,3,30.33980583,9888
5351,2002,5139,9,22.32973576,40305
5352,2002,5141,1,7.37517516,13559
5353,2002,5143,23,14.41464026,159560
5354,2002,5145,7,11.48859347,60930
5355,2002,5149,1,5.261773218,19005
5356,2002,6001,136,10.1939397,1334126
5357,2002,6005,3,9.069472157,33078
5358,2002,6007,33,16.34310618,201920
5359,2002,6009,6,15.46112815,38807
5360,2002,6011,4,20.89645805,19142
5361,2002,6013,94,10.65949381,881843
5362,2002,6015,8,30.91667955,25876
5363,2002,6017,23,14.91859635,154170
5364,2002,6019,54,7.274157612,742354
5365,2002,6021,9,35.47077602,25373
5366,2002,6023,28,23.34636839,119933
5367,2002,6025,11,7.866920315,139826
5368,2002,6027,8,51.15089514,15640
5369,2002,6029,70,11.25230069,622095
5370,2002,6031,11,8.495914238,129474
5371,2002,6033,18,29.399755,61225
5372,2002,6035,10,32.01639239,31234
5373,2002,6037,730,8.211099494,8890405
5374,2002,6039,9,7.648638542,117668
5375,2002,6041,47,20.34658459,230997
5376,2002,6043,2,12.91322314,15488
5377,2002,6045,10,12.26106254,81559
5378,2002,6047,19,8.58210135,221391
5379,2002,6051,1,8.067118425,12396
5380,2002,6053,28,7.619317146,367487
