,year,fips,Deaths,SuicideDeathRate,Population
23756,2009,1001,7,14.11831145,49581
23757,2009,1003,35,21.53554596,162522
23758,2009,1005,2,8.113261125,24651
23759,2009,1007,5,23.11924909,21627
23760,2009,1009,9,18.32769926,49106
23761,2009,1011,1,9.748488984,10258
23762,2009,1013,1,5.200478444,19229
23763,2009,1015,21,22.57166504,93037
23764,2009,1017,6,19.66310546,30514
23765,2009,1019,6,26.61698163,22542
23766,2009,1021,9,22.5807261,39857
23767,2009,1023,1,8.255593164,12113
23768,2009,1025,2,8.382229673,23860
23769,2009,1027,3,26.49240551,11324
23770,2009,1029,2,14.87873828,13442
23771,2009,1031,2,4.412381141,45327
23772,2009,1033,2,3.819344982,52365
23773,2009,1035,5,38.5297064,12977
23774,2009,1037,3,27.99290846,10717
23775,2009,1039,7,20.49960465,34147
23776,2009,1043,14,19.5522534,71603
23777,2009,1045,12,26.77734636,44814
23778,2009,1047,4,9.574187989,41779
23779,2009,1049,10,15.67201605,63808
23780,2009,1051,12,15.78116781,76040
23781,2009,1053,6,16.17773943,37088
23782,2009,1055,15,16.887708,88822
23783,2009,1057,4,25.55257442,15654
23784,2009,1059,1,3.471257984,28808
23785,2009,1061,5,19.89495464,25132
23786,2009,1063,2,23.51005055,8507
23787,2009,1065,4,28.51643259,14027
23788,2009,1067,3,18.82293889,15938
23789,2009,1069,11,11.54819271,95253
23790,2009,1071,4,7.967651336,50203
23791,2009,1073,110,17.82415659,617140
23792,2009,1075,3,22.22057625,13501
23793,2009,1077,5,5.697031846,87765
23794,2009,1079,3,9.366511599,32029
23795,2009,1081,10,7.851142341,127370
23796,2009,1083,8,11.13446255,71849
23797,2009,1085,1,10.15434606,9848
23798,2009,1089,43,14.54653708,295603
23799,2009,1091,2,11.05460977,18092
23800,2009,1093,7,24.59678836,28459
23801,2009,1095,12,13.9603062,85958
23802,2009,1097,65,17.00582384,382222
23803,2009,1099,3,14.44390948,20770
23804,2009,1101,30,13.52777252,221766
23805,2009,1103,20,18.21925046,109774
23806,2009,1105,2,21.04820038,9502
23807,2009,1107,2,10.84245907,18446
23808,2009,1109,4,14.53013186,27529
23809,2009,1111,3,13.3043594,22549
23810,2009,1113,6,13.05454625,45961
23811,2009,1115,13,18.22821728,71318
23812,2009,1117,15,8.105961124,185049
23813,2009,1121,14,17.77371521,78768
23814,2009,1123,2,5.048337835,39617
23815,2009,1125,31,17.22882661,179931
23816,2009,1127,13,21.28565347,61074
23817,2009,1129,6,38.25554705,15684
23818,2009,1131,3,26.73320264,11222
23819,2009,1133,3,12.51512244,23971
23820,2009,2016,1,20.04811548,4988
23821,2009,2020,49,18.06678072,271216
23822,2009,2050,10,68.99882702,14493
23823,2009,2060,1,111.7318436,895
23824,2009,2070,3,73.47538575,4083
23825,2009,2090,13,15.44860368,84150
23826,2009,2100,1,45.12635379,2216
23827,2009,2110,4,15.71832757,25448
23828,2009,2122,11,20.65107198,53266
23829,2009,2130,8,67.49346157,11853
23830,2009,2150,4,32.546786,12290
23831,2009,2170,13,17.99955693,72224
23832,2009,2180,7,83.65200765,8368
23833,2009,2185,3,37.46721619,8007
23834,2009,2188,2,29.92220227,6684
23835,2009,2220,2,23.75014844,8421
23836,2009,2232,2,67.02412869,2984
23837,2009,2240,1,15.50147264,6451
23838,2009,2261,1,11.50615579,8691
23839,2009,2270,3,42.68639727,7028
23840,2009,2282,1,158.9825119,629
23841,2009,2290,2,38.88024883,5144
23842,2009,4001,16,24.03124061,66580
23843,2009,4003,26,22.08049189,117751
23844,2009,4005,40,32.54863987,122893
23845,2009,4007,15,32.08075796,46757
23846,2009,4009,6,16.92285996,35455
23847,2009,4011,1,12.97353399,7708
23848,2009,4012,10,53.77211378,18597
23849,2009,4013,518,15.63210593,3313693
23850,2009,4015,68,34.25554638,198508
23851,2009,4017,19,19.83691964,95781
23852,2009,4019,176,19.26128591,913750
23853,2009,4021,64,19.73609145,324279
23854,2009,4023,8,18.516804,43204
23855,2009,4025,69,36.3856883,189635
23856,2009,4027,23,13.22492726,173914
23857,2009,5001,3,16.50165017,18180
23858,2009,5005,11,28.19500692,39014
23859,2009,5007,26,13.59036548,191312
