,year,fips,Deaths,SuicideDeathRate,Population
21106,2008,1001,5,10.98008213,45537
21107,2008,1003,32,19.28349754,165945
21108,2008,1007,4,18.78639865,21292
21109,2008,1009,8,14.48304578,55237
21110,2008,1011,1,9.902951079,10098
21111,2008,1013,2,10.7578936,18591
21112,2008,1015,14,13.82538538,101263
21113,2008,1017,1,3.184307731,31404
21114,2008,1019,2,8.706251088,22972
21115,2008,1021,5,12.43038982,40224
21116,2008,1025,2,8.278488348,24159
21117,2008,1027,1,8.066467694,12397
21118,2008,1029,2,15.8202816,12642
21119,2008,1031,3,6.294454586,47661
21120,2008,1033,9,18.31986484,49127
21121,2008,1035,3,24.05773857,12470
21122,2008,1037,2,19.07486886,10485
21123,2008,1039,6,17.71322292,33873
21124,2008,1043,13,19.30759977,67331
21125,2008,1045,3,6.586024456,45551
21126,2008,1047,3,7.189589474,41727
21127,2008,1049,11,16.18599176,67960
21128,2008,1051,8,11.64059658,68725
21129,2008,1053,4,10.92179991,36624
21130,2008,1055,17,18.38255171,92479
21131,2008,1057,2,12.6984127,15750
21132,2008,1059,3,9.851893205,30451
21133,2008,1061,4,16.48125258,24270
21134,2008,1063,1,11.3507378,8810
21135,2008,1065,3,21.22241087,14136
21136,2008,1067,5,32.18331617,15536
21137,2008,1069,16,17.62211576,90795
21138,2008,1071,8,17.69911504,45200
21139,2008,1073,110,20.06651136,548177
21140,2008,1075,1,7.376263185,13557
21141,2008,1077,7,7.942451267,88134
21142,2008,1079,6,19.22029663,31217
21143,2008,1081,13,10.28505423,126397
21144,2008,1083,12,16.88523667,71068
21145,2008,1089,36,11.80242737,305022
21146,2008,1091,1,5.211318985,19189
21147,2008,1093,1,3.453515679,28956
21148,2008,1095,12,14.97267487,80146
21149,2008,1097,49,13.81410166,354710
21150,2008,1099,2,9.499833753,21053
21151,2008,1101,18,9.179177546,196096
21152,2008,1103,15,14.63000712,102529
21153,2008,1107,3,16.5855816,18088
21154,2008,1109,7,23.34889927,29980
21155,2008,1111,6,29.01634587,20678
21156,2008,1113,8,18.07092839,44270
21157,2008,1115,13,17.37201502,74833
21158,2008,1117,24,13.20967609,181685
21159,2008,1121,11,14.32049262,76813
21160,2008,1123,3,7.626407708,39337
21161,2008,1125,18,10.15784157,177203
21162,2008,1127,13,19.80529868,65639
21163,2008,1129,1,5.957700328,16785
21164,2008,1133,4,18.83239171,21240
21165,2008,2016,2,41.36504654,4835
21166,2008,2020,46,17.9900429,255697
21167,2008,2050,12,79.39133311,15115
21168,2008,2068,1,67.20430108,1488
21169,2008,2090,25,32.60770324,76669
21170,2008,2110,2,6.528906735,30633
21171,2008,2122,14,28.26912204,49524
21172,2008,2130,4,33.99048266,11768
21173,2008,2150,2,15.95787122,12533
21174,2008,2170,19,27.96132507,67951
21175,2008,2180,6,70.2000702,8547
21176,2008,2185,4,51.06600281,7833
21177,2008,2188,8,119.2250373,6710
21178,2008,2201,1,18.80406168,5318
21179,2008,2220,4,47.70423375,8385
21180,2008,2232,2,69.08462867,2895
21181,2008,2261,2,24.21014405,8261
21182,2008,2270,4,63.19115324,6330
21183,2008,2280,3,58.16207832,5158
21184,2008,2290,6,117.8781925,5090
21185,2008,4001,13,19.69309075,66013
21186,2008,4003,17,15.2997399,111113
21187,2008,4005,34,28.03684371,121269
21188,2008,4007,11,22.8433775,48154
21189,2008,4009,7,22.45965284,31167
21190,2008,4011,1,14.61560947,6842
21191,2008,4012,2,10.50254687,19043
21192,2008,4013,530,14.45882658,3665581
21193,2008,4015,58,31.45643284,184382
21194,2008,4017,17,17.60472221,96565
21195,2008,4019,153,16.90081102,905282
21196,2008,4021,44,14.10740222,311893
21197,2008,4023,2,4.790189692,41752
21198,2008,4025,70,35.62739849,196478
21199,2008,4027,20,10.4952168,190563
21200,2008,5001,3,17.57469244,17070
21201,2008,5003,3,15.1798816,19763
21202,2008,5005,9,28.76686058,31286
21203,2008,5007,32,16.92638082,189054
21204,2008,5009,4,12.71213373,31466
21205,2008,5011,2,18.8377131,10617
21206,2008,5013,1,20.34174125,4916
21207,2008,5015,5,18.65393225,26804
21208,2008,5019,1,4.771220001,20959
21209,2008,5021,1,7.44712541,13428
21210,2008,5023,6,27.83576896,21555
21211,2008,5025,2,24.66395363,8109
21212,2008,5027,5,23.9188672,20904
21213,2008,5029,2,9.876055503,20251
21214,2008,5031,16,18.35514919,87169
21215,2008,5033,7,12.69150576,55155
21216,2008,5035,6,13.00502861,46136
21217,2008,5037,2,11.2561909,17768
21218,2008,5041,2,16.35456701,12229
21219,2008,5043,3,16.95969246,17689
21220,2008,5045,19,19.04819193,99747
21221,2008,5047,3,18.62775536,16105
21222,2008,5049,5,44.63090244,11203
21223,2008,5051,26,27.84143233,93386
21224,2008,5053,5,31.00775194,16125
21225,2008,5055,5,12.52003205,39936
