,year,fips,Deaths,SuicideDeathRate,Population
53983,2020,1001,6,12.08970562,49629
53984,2020,1003,44,20.63664035,213213
53985,2020,1005,5,21.31741633,23455
53986,2020,1007,4,21.37208805,18716
53987,2020,1009,14,26.40114656,53028
53988,2020,1011,1,10.36054704,9652
53989,2020,1013,5,27.70697107,18046
53990,2020,1015,24,21.9160069,109509
53991,2020,1017,9,28.38758516,31704
53992,2020,1019,1,3.899243547,25646
53993,2020,1021,11,28.97634477,37962
53994,2020,1025,4,18.8492531,21221
53995,2020,1027,3,27.96681272,10727
53996,2020,1029,4,28.49002849,14040
53997,2020,1031,8,17.61416179,45418
53998,2020,1033,9,18.74492325,48013
53999,2020,1035,3,27.23806065,11014
54000,2020,1037,1,10.84716347,9219
54001,2020,1039,7,19.59960801,35715
54002,2020,1041,1,8.372404555,11944
54003,2020,1043,23,29.40274085,78224
54004,2020,1045,12,27.45241581,43712
54005,2020,1047,4,13.21615014,30266
54006,2020,1049,13,18.60198898,69885
54007,2020,1051,13,16.87895195,77019
54008,2020,1053,8,24.93221554,32087
54009,2020,1055,24,25.20823049,95207
54010,2020,1057,4,27.17391304,14720
54011,2020,1059,1,3.302182743,30283
54012,2020,1061,6,25.19949601,23810
54013,2020,1065,2,16.12643122,12402
54014,2020,1067,3,18.62544235,16107
54015,2020,1069,20,21.5285253,92900
54016,2020,1071,8,17.42463844,45912
54017,2020,1073,104,16.69111487,623086
54018,2020,1075,1,8.198065257,12198
54019,2020,1077,19,23.57934449,80579
54020,2020,1079,5,16.58484808,30148
54021,2020,1081,18,11.93048504,150874
54022,2020,1083,15,16.29885582,92031
54023,2020,1085,1,11.5593573,8651
54024,2020,1087,1,6.047411708,16536
54025,2020,1089,56,14.93628076,374926
54026,2020,1091,3,17.66056396,16987
54027,2020,1093,9,36.25377644,24825
54028,2020,1095,21,22.94630564,91518
54029,2020,1097,68,18.25219161,372558
54030,2020,1099,2,10.97273276,18227
54031,2020,1101,24,11.96410768,200600
54032,2020,1103,25,22.7942048,109677
