,year,fips,Deaths,SuicideDeathRate,Population
48400,2018,1001,11,21.528104,51096
48401,2018,1003,37,19.3974217,190747
48402,2018,1005,5,24.4391222,20459
48403,2018,1007,4,20.2778059,19726
48404,2018,1009,7,12.9545665,54035
48405,2018,1011,1,10.628122,9409
48406,2018,1013,2,11.038746,18118
48407,2018,1015,22,21.5601725,102040
48408,2018,1017,5,15.5226475,32211
48409,2018,1019,6,24.7025402,24289
48410,2018,1021,8,19.2515943,41555
48411,2018,1023,2,17.7163611,11289
48412,2018,1025,2,9.43307235,21202
48413,2018,1027,3,23.4925607,12770
48414,2018,1029,3,23.1499344,12959
48415,2018,1031,9,18.3501203,49046
48416,2018,1033,13,25.3599157,51262
48417,2018,1039,5,15.3921931,32484
48418,2018,1041,1,7.68167153,13018
48419,2018,1043,12,15.7148283,76361
48420,2018,1045,13,27.723279,46892
48421,2018,1047,3,8.38105881,35795
48422,2018,1049,14,21.4687706,65211
48423,2018,1051,19,25.2012786,75393
48424,2018,1053,10,30.5147844,32771
48425,2018,1055,19,19.0251132,99868
48426,2018,1057,4,26.2071677,15263
48427,2018,1059,6,21.6489266,27715
48428,2018,1061,4,15.9368899,25099
48429,2018,1065,2,14.7318798,13576
48430,2018,1067,2,12.7129418,15732
48431,2018,1069,20,21.1412021,94602
48432,2018,1071,13,25.4896963,51001
48433,2018,1073,98,16.1355385,607355
48434,2018,1075,1,8.05736846,12411
48435,2018,1077,10,11.1337497,89817
48436,2018,1079,10,33.5671847,29791
48437,2018,1081,20,12.7896864,156376
48438,2018,1083,21,24.7521835,84841
48439,2018,1089,64,19.3054852,331512
48440,2018,1091,2,11.3642821,17599
48441,2018,1093,7,25.4388196,27517
48442,2018,1095,16,18.8080404,85070
48443,2018,1097,73,19.8196682,368321
48444,2018,1099,1,5.37230042,18614
48445,2018,1101,28,12.8573069,217775
48446,2018,1103,24,23.3014233,102998
48447,2018,1107,3,16.2795746,18428
48448,2018,1109,4,13.2908028,30096
48449,2018,1111,9,41.8604651,21500
48450,2018,1113,15,31.0019841,48384
48451,2018,1115,18,22.4634968,80130
48452,2018,1117,23,12.0982589,190110
48453,2018,1119,3,26.6927663,11239
48454,2018,1121,11,15.8973321,69194
48455,2018,1123,10,26.2888089,38039
48456,2018,1125,27,13.7428359,196466
48457,2018,1127,11,19.333181,56897
48458,2018,1129,3,21.0822207,14230
48459,2018,1133,8,36.7883749,21746
48460,2018,2016,1,19.1277735,5228
48461,2018,2020,57,21.789324,261596
48462,2018,2050,6,35.6569799,16827
48463,2018,2060,1,117.096019,854
48464,2018,2068,1,54.6149645,1831
48465,2018,2070,2,48.9596083,4085
48466,2018,2090,30,36.298519,82648
48467,2018,2100,2,95.3743443,2097
48468,2018,2105,1,50.1253133,1995
48469,2018,2110,6,20.1079125,29839
48470,2018,2122,14,26.1564906,53524
48471,2018,2130,4,32.8893274,12162
48472,2018,2150,6,48.2509047,12435
48473,2018,2164,1,65.6598818,1523
48474,2018,2170,19,20.4050948,93114
48475,2018,2180,3,33.3592794,8993
48476,2018,2185,2,22.8493088,8753
48477,2018,2188,9,131.887456,6824
48478,2018,2195,1,33.6927224,2968
48479,2018,2220,1,13.0327121,7673
48480,2018,2261,6,71.4711138,8395
48481,2018,2270,3,38.2409178,7845
48482,2018,2275,1,41.2881916,2422
48483,2018,4001,28,40.9039779,68453
48484,2018,4003,18,15.0539433,119570
48485,2018,4005,59,44.2156224,133437
48486,2018,4007,31,63.8043881,48586
48487,2018,4009,7,20.3618593,34378
48488,2018,4011,3,34.6820809,8650
48489,2018,4012,9,48.5515456,18537
48490,2018,4013,752,17.9136377,4197919
48491,2018,4015,88,48.8801991,180032
48492,2018,4017,45,44.4734345,101184
48493,2018,4019,220,23.3437602,942436
48494,2018,4021,81,19.1812677,422287
48495,2018,4023,6,14.6081367,41073
48496,2018,4025,84,38.2785585,219444
48497,2018,4027,34,16.9744535,200301
48498,2018,5001,3,18.1411381,16537
48499,2018,5003,1,5.5175458,18124
48500,2018,5005,16,42.5260472,37624
48501,2018,5007,30,12.0714145,248521
48502,2018,5009,9,25.292977,35583
48503,2018,5011,3,29.8418383,10053
48504,2018,5013,1,22.426553,4459
48505,2018,5015,7,28.0831261,24926
48506,2018,5017,1,10.5229927,9503
48507,2018,5019,4,19.5255296,20486
48508,2018,5021,3,20.828994,14403
48509,2018,5023,7,29.7606394,23521
48510,2018,5025,1,14.488554,6902
48511,2018,5027,2,9.43129303,21206
48512,2018,5029,5,25.6831724,19468
48513,2018,5031,14,14.988491,93405
48514,2018,5033,12,19.5694716,61320
48515,2018,5035,6,14.169658,42344
48516,2018,5037,5,32.2684737,15495
48517,2018,5041,2,18.9358076,10562
48518,2018,5043,2,12.3900384,16142
48519,2018,5045,26,27.8226626,93449
48520,2018,5047,3,17.6221805,17024
48521,2018,5049,10,86.1771803,11604
48522,2018,5051,26,31.31436,83029
48523,2018,5053,1,6.27667587,15932
48524,2018,5055,11,25.8799172,42504
48525,2018,5059,6,18.5948492,32267
48526,2018,5063,6,17.0638758,35162
48527,2018,5065,5,40.9031414,12224
48528,2018,5067,3,18.9071658,15867
48529,2018,5069,5,8.06750892,61977
48530,2018,5071,3,11.542457,25991
48531,2018,5073,2,33.2834082,6009
48532,2018,5075,3,19.7941409,15156
48533,2018,5077,6,70.4887218,8512
48534,2018,5079,2,15.94642,12542
48535,2018,5081,1,8.93176134,11196
48536,2018,5083,6,30.2388872,19842
48537,2018,5085,19,26.8066255,70878
48538,2018,5087,6,41.7275193,14379
48539,2018,5089,3,18.3262065,16370
48540,2018,5091,6,14.7275405,40740
48541,2018,5093,3,8.35817569,35893
48542,2018,5095,1,16.0462131,6232
48543,2018,5097,1,12.2384041,8171
48544,2018,5101,2,32.1388398,6223
48545,2018,5103,7,32.1691177,21760
48546,2018,5105,1,10.716965,9331
48547,2018,5107,4,24.6062992,16256
48548,2018,5109,2,21.5726459,9271
48549,2018,5111,7,32.734755,21384
48550,2018,5113,5,27.9829863,17868
48551,2018,5115,11,18.7310561,58726
48552,2018,5119,85,24.6134957,345339
48553,2018,5121,5,30.3011939,16501
48554,2018,5123,2,8.96137647,22318
48555,2018,5125,26,24.9390911,104254
48556,2018,5127,3,33.4299086,8974
48557,2018,5129,2,27.5862069,7250
48558,2018,5131,21,18.3009726,114748
48559,2018,5133,1,6.63746184,15066
48560,2018,5135,2,12.1928915,16403
48561,2018,5137,2,16.8152009,11894
48562,2018,5139,6,16.6426273,36052
48563,2018,5141,2,12.0889749,16544
48564,2018,5143,39,18.4066453,211880
48565,2018,5145,16,21.6038131,74061
48566,2018,5147,2,35.118525,5695
48567,2018,5149,3,16.013665,18734
48568,2018,6001,167,10.6854013,1562880
48569,2018,6005,11,29.9997273,36667
48570,2018,6007,55,25.8537617,212735
48571,2018,6009,12,27.9876854,42876
48572,2018,6011,3,15.0791656,19895
48573,2018,6013,114,11.8784027,959725
48574,2018,6015,3,11.6749689,25696
48575,2018,6017,24,14.7054318,163205
48576,2018,6019,107,12.3166177,868745
48577,2018,6021,6,23.6835873,25334
48578,2018,6023,35,28.0242129,124892
48579,2018,6025,12,7.12669482,168381
48580,2018,6027,5,28.7521564,17390
48581,2018,6029,100,12.3800834,807749
48582,2018,6031,18,13.3090812,135246
48583,2018,6033,21,37.4839355,56024
48584,2018,6035,12,41.988873,28579
48585,2018,6037,981,11.0018651,8916670
48586,2018,6039,22,15.1426507,145285
48587,2018,6041,58,24.7739378,234117
48588,2018,6043,5,33.2667997,15030
48589,2018,6045,18,23.5303345,76497
48590,2018,6047,17,6.91475731,245851
48591,2018,6049,3,36.2888593,8267
48592,2018,6053,47,11.5395475,407295
48593,2018,6055,16,12.7877238,125120
48594,2018,6057,24,25.3450625,94693
48595,2018,6059,366,12.4869586,2931058
48596,2018,6061,52,13.7352841,378587
48597,2018,6063,5,28.9922301,17246
48598,2018,6065,291,12.8379219,2266722
48599,2018,6067,198,14.0155856,1412713
48600,2018,6069,5,9.0028449,55538
48601,2018,6071,239,12.3359741,1937423
48602,2018,6073,476,15.5255598,3065912
48603,2018,6075,86,10.2834403,836296
48604,2018,6077,74,10.8598507,681409
48605,2018,6079,58,20.7435489,279605
48606,2018,6081,69,10.0101552,689300
48607,2018,6083,52,12.0514318,431484
48608,2018,6085,153,9.16254352,1669842
48609,2018,6087,37,14.8284112,249521
48610,2018,6089,49,28.2624369,173375
48611,2018,6091,3,105.485232,2844
48612,2018,6093,9,22.1822394,40573
48613,2018,6095,62,14.6997807,421775
48614,2018,6097,72,16.5529418,434968
48615,2018,6099,66,12.7332991,518326
48616,2018,6101,8,9.15122398,87420
48617,2018,6103,19,36.9887282,51367
48618,2018,6105,6,52.8774125,11347
48619,2018,6107,40,8.99492911,444695
48620,2018,6109,15,28.5057297,52621
48621,2018,6111,95,12.8438432,739654
48622,2018,6113,23,10.7139696,214673
48623,2018,6115,15,20.2265372,74160
48624,2018,8001,117,26.3324916,444318
48625,2018,8003,7,50.9053887,13751
48626,2018,8005,108,18.9869412,568812
48627,2018,8007,2,15.4440154,12950
48628,2018,8009,2,63.7551801,3137
48629,2018,8011,1,18.7160771,5343
48630,2018,8013,72,24.7151748,291319
48631,2018,8014,11,17.4042371,63203
48632,2018,8015,7,38.7618362,18059
48633,2018,8017,1,57.2409845,1747
48634,2018,8019,7,81.2441968,8616
48635,2018,8021,3,39.5413207,7587
48636,2018,8023,1,27.6014353,3623
48637,2018,8027,2,45.9770115,4350
48638,2018,8029,6,22.5445254,26614
48639,2018,8031,158,24.2606267,651261
48640,2018,8035,57,17.7266366,321550
48641,2018,8037,15,30.8826254,48571
48642,2018,8039,2,8.79894413,22730
48643,2018,8041,158,22.7441869,694683
48644,2018,8043,21,48.2481333,43525
48645,2018,8045,16,29.6406076,53980
48646,2018,8047,2,37.0233247,5402
48647,2018,8049,6,40.4421677,14836
48648,2018,8051,9,57.3869795,15683
48649,2018,8055,3,53.5809966,5599
48650,2018,8059,129,23.4859312,549265
48651,2018,8061,1,87.5656743,1142
48652,2018,8063,3,48.9316588,6131
48653,2018,8065,3,38.7396694,7744
48654,2018,8067,15,29.5980584,50679
48655,2018,8069,81,25.7850103,314136
48656,2018,8071,8,66.8505056,11967
48657,2018,8073,5,95.1837046,5253
48658,2018,8075,3,16.4024057,18290
48659,2018,8077,62,46.7783311,132540
48660,2018,8081,2,18.9143181,10574
48661,2018,8083,12,48.1077614,24944
48662,2018,8085,14,34.4530577,40635
48663,2018,8087,5,19.5763674,25541
48664,2018,8089,2,12.5031258,15996
48665,2018,8091,1,22.810219,4384
48666,2018,8093,13,84.1859863,15442
48667,2018,8097,2,12.3846678,16149
48668,2018,8099,1,9.68241673,10328
48669,2018,8101,47,31.056311,151338
48670,2018,8103,3,52.5578136,5708
48671,2018,8105,3,28.1848929,10644
48672,2018,8107,2,8.88849385,22501
48673,2018,8109,5,88.0902044,5676
48674,2018,8113,3,39.5152792,7592
48675,2018,8117,12,40.5022276,29628
48676,2018,8119,10,43.3125433,23088
48677,2018,8123,56,19.6012545,285696
48678,2018,9001,70,8.0197515,872845
48679,2018,9003,121,14.7161665,822225
48680,2018,9005,27,18.594401,145205
48681,2018,9007,23,15.3367074,149967
48682,2018,9009,111,13.5102733,821597
48683,2018,9011,29,13.0588866,222071
48684,2018,9013,18,12.7330862,141364
48685,2018,9015,17,15.4634018,109937
48686,2018,10001,20,11.7635295,170017
48687,2018,10003,67,14.1033035,475066
48688,2018,10005,28,12.5403081,223280
48689,2018,11001,60,9.27038945,647222
48690,2018,12001,49,20.5102447,238905
48691,2018,12003,4,15.1303098,26437
48692,2018,12005,55,32.9736211,166800
48693,2018,12007,5,21.4224507,23340
48694,2018,12009,124,22.5478323,549942
48695,2018,12011,261,14.9277634,1748420
48696,2018,12013,2,15.0105074,13324
48697,2018,12015,38,21.801992,174296
48698,2018,12017,42,33.5211582,125294
48699,2018,12019,46,23.1396478,198793
48700,2018,12021,55,15.6618855,351171
48701,2018,12023,16,26.2144671,61035
48702,2018,12027,7,21.8211291,32079
48703,2018,12029,5,32.7825859,15252
48704,2018,12031,179,22.3168089,802086
48705,2018,12033,57,20.1581531,282764
48706,2018,12035,29,28.1329427,103082
48707,2018,12037,3,28.8517023,10398
48708,2018,12039,5,11.5990442,43107
48709,2018,12041,6,35.2692217,17012
48710,2018,12043,2,16.1485668,12385
48711,2018,12045,2,13.3306672,15003
48712,2018,12047,1,7.56544107,13218
48713,2018,12049,6,23.4677514,25567
48714,2018,12051,3,8.32385339,36041
48715,2018,12053,30,16.6869692,179781
48716,2018,12055,24,23.7250269,101159
48717,2018,12057,226,16.686602,1354380
48718,2018,12059,3,17.2354361,17406
48719,2018,12061,29,24.5185073,118278
48720,2018,12063,11,25.2305152,43598
48721,2018,12065,1,7.36160189,13584
48722,2018,12069,71,21.8376204,325127
48723,2018,12071,132,19.8558943,664790
48724,2018,12073,41,15.1297654,270989
48725,2018,12075,15,40.8030031,36762
48726,2018,12077,1,13.0770237,7647
48727,2018,12079,1,5.85343011,17084
48728,2018,12081,69,18.8576114,365900
48729,2018,12083,102,30.4480339,334997
48730,2018,12085,42,28.2464978,148691
48731,2018,12086,303,12.8419813,2359449
48732,2018,12087,34,54.423511,62473
48733,2018,12089,18,23.13476,77805
48734,2018,12091,44,21.7717235,202097
48735,2018,12093,8,21.2737668,37605
48736,2018,12095,163,12.3882681,1315761
48737,2018,12097,40,11.5237577,347109
48738,2018,12099,251,18.0781813,1388414
