,year,fips,Deaths,SuicideDeathRate,Population
7823,2003,1001,2,4.688232536,42660
7824,2003,1003,24,17.38563512,138045
7825,2003,1005,1,3.765060241,26560
7826,2003,1007,3,14.63486024,20499
7827,2003,1009,8,16.08654562,49731
7828,2003,1013,1,5.185377236,19285
7829,2003,1015,16,15.47807917,103372
7830,2003,1017,5,15.91191166,31423
7831,2003,1019,5,21.01723413,23790
7832,2003,1021,7,18.36402749,38118
7833,2003,1023,1,6.919457515,14452
7834,2003,1025,2,8.154943935,24525
7835,2003,1027,1,7.558007709,13231
7836,2003,1029,4,32.06155819,12476
7837,2003,1031,3,7.278196948,41219
7838,2003,1033,6,11.59017153,51768
7839,2003,1035,2,15.78905818,12667
7840,2003,1037,1,9.750390016,10256
7841,2003,1039,7,20.15722637,34727
7842,2003,1041,2,16.08104848,12437
7843,2003,1043,7,10.23047806,68423
7844,2003,1045,4,8.77770463,45570
7845,2003,1047,6,14.43973816,41552
7846,2003,1049,5,8.558566269,58421
7847,2003,1051,5,8.002176592,62483
7848,2003,1053,2,5.948839976,33620
7849,2003,1055,17,17.81429125,95429
7850,2003,1057,6,38.49608623,15586
7851,2003,1059,5,17.26698208,28957
7852,2003,1061,4,17.63124256,22687
7853,2003,1063,1,10.84598698,9220
7854,2003,1065,1,6.136098668,16297
7855,2003,1067,1,6.588917441,15177
7856,2003,1069,5,5.902142478,84715
7857,2003,1071,4,7.959407024,50255
7858,2003,1073,83,13.21879171,627894
7859,2003,1075,1,6.76956404,14772
7860,2003,1077,12,13.79516479,86987
7861,2003,1079,1,3.17914481,31455
7862,2003,1081,15,13.55209425,110684
7863,2003,1083,10,16.66388935,60010
7864,2003,1085,1,8.310479515,12033
7865,2003,1087,2,9.975062344,20050
7866,2003,1089,41,14.89214095,275313
7867,2003,1091,1,4.830451164,20702
7868,2003,1093,2,7.191916286,27809
7869,2003,1095,12,14.76723151,81261
7870,2003,1097,38,11.0891274,342678
7871,2003,1099,3,13.12163758,22863
7872,2003,1101,23,11.80219521,194879
7873,2003,1103,19,18.43568372,103061
7874,2003,1107,2,10.74171545,18619
7875,2003,1109,2,6.959910913,28736
7876,2003,1111,7,34.68609088,20181
7877,2003,1113,8,19.00689,42090
7878,2003,1115,11,18.73584167,58711
7879,2003,1117,10,6.805406215,146942
7880,2003,1121,9,11.59569671,77615
7881,2003,1123,4,11.149515,35876
7882,2003,1125,21,14.27260679,147135
7883,2003,1127,8,12.18769043,65640
7884,2003,1129,1,6.547502128,15273
7885,2003,1133,3,12.6135217,23784
7886,2003,2016,2,37.26476616,5367
7887,2003,2020,51,20.00580561,254926
7888,2003,2050,10,73.32991127,13637
7889,2003,2070,1,21.34927412,4684
7890,2003,2090,12,16.13054992,74393
7891,2003,2110,4,13.27624548,30129
7892,2003,2122,8,16.32020237,49019
7893,2003,2130,1,8.622176237,11598
7894,2003,2150,5,42.70219489,11709
7895,2003,2170,10,18.00406892,55543
7896,2003,2180,4,45.52179356,8787
7897,2003,2185,3,39.24646782,7644
7898,2003,2188,5,73.75719133,6779
7899,2003,2220,1,12.17285453,8215
7900,2003,2240,1,18.23486506,5484
7901,2003,2261,2,21.7509516,9195
7902,2003,2270,4,61.462815,6508
7903,2003,2280,1,19.08032818,5241
7904,2003,2290,1,17.45200698,5730
7905,2003,4001,19,31.06605625,61160
