,year,fips,Deaths,SuicideDeathRate,Population
34571,2013,1001,10,21.2165574,47133
34572,2013,1003,34,18.7294802,181532
34573,2013,1005,3,12.04674136,24903
34574,2013,1007,1,4.916179146,20341
34575,2013,1009,8,15.10859301,52950
34576,2013,1011,2,21.91540653,9126
34577,2013,1013,2,10.57138327,18919
34578,2013,1015,15,14.91216733,100589
34579,2013,1017,9,28.2832092,31821
34580,2013,1019,4,17.70459877,22593
34581,2013,1021,7,16.36967401,42762
34582,2013,1023,3,26.26740215,11421
34583,2013,1025,5,21.86939597,22863
34584,2013,1027,4,31.91574244,12533
34585,2013,1029,3,20.99370189,14290
34586,2013,1031,5,11.5660421,43230
34587,2013,1033,8,16.58856219,48226
34588,2013,1035,3,25.73560951,11657
34589,2013,1037,2,20.6291903,9695
34590,2013,1039,4,11.25967628,35525
34591,2013,1041,2,16.47853671,12137
34592,2013,1043,12,17.30902377,69328
34593,2013,1045,6,13.72557991,43714
34594,2013,1047,4,10.81227193,36995
34595,2013,1049,8,11.71646163,68280
34596,2013,1051,9,12.83404158,70126
34597,2013,1053,3,8.864724307,33842
34598,2013,1055,20,20.47669752,97672
34599,2013,1057,3,21.9186089,13687
34600,2013,1059,7,26.9655996,25959
34601,2013,1061,3,11.70275015,25635
34602,2013,1063,4,48.2509047,8290
34603,2013,1065,1,7.021978794,14241
34604,2013,1067,4,26.25016406,15238
34605,2013,1069,14,15.12565094,92558
34606,2013,1071,11,23.44416027,46920
34607,2013,1073,99,15.95394949,620536
34608,2013,1077,14,17.03556783,82181
34609,2013,1079,6,19.8938992,30160
34610,2013,1081,19,14.05481377,135185
34611,2013,1083,10,12.8776367,77654
34612,2013,1085,1,10.4416832,9577
34613,2013,1087,3,16.62510391,18045
34614,2013,1089,65,20.30234883,320160
34615,2013,1093,7,26.89824777,26024
34616,2013,1095,19,22.49399174,84467
34617,2013,1097,59,16.39799889,359800
34618,2013,1099,3,14.38779915,20851
34619,2013,1101,26,13.51063443,192441
34620,2013,1103,12,11.38465917,105405
34621,2013,1105,1,11.02657404,9069
34622,2013,1107,1,5.587840858,17896
34623,2013,1109,5,16.64558226,30038
34624,2013,1111,5,25.09914161,19921
34625,2013,1113,6,10.61928107,56501
34626,2013,1115,15,19.83235053,75634
34627,2013,1117,25,15.47642631,161536
34628,2013,1121,8,10.7807994,74206
34629,2013,1123,8,20.64356308,38753
34630,2013,1125,26,13.94273825,186477
34631,2013,1127,8,13.34868432,59931
34632,2013,1129,4,26.79707912,14927
34633,2013,1131,1,9.548362456,10473
34634,2013,1133,7,33.86386725,20671
34635,2013,2016,1,19.83733386,5041
34636,2013,2020,57,21.68619693,262840
34637,2013,2050,5,28.34627813,17639
34638,2013,2060,1,117.2332943,853
34639,2013,2070,1,20.9292591,4778
34640,2013,2090,20,20.99737533,95250
34641,2013,2100,1,43.30879168,2309
34642,2013,2110,6,21.80945803,27511
34643,2013,2122,17,31.76382661,53520
34644,2013,2130,1,7.922047057,12623
34645,2013,2150,6,49.35834156,12156
34646,2013,2170,18,20.83767452,86382
34647,2013,2180,7,72.04610951,9716
34648,2013,2185,1,11.6522955,8582
34649,2013,2188,2,29.65159377,6745
34650,2013,2201,1,19.79414093,5052
34651,2013,2220,1,12.29407426,8134
34652,2013,2240,3,46.9924812,6384
34653,2013,2261,4,43.1732326,9265
34654,2013,2270,10,131.2335958,7620
34655,2013,2280,1,17.49475157,5716
34656,2013,2290,6,122.9760197,4879
34657,2013,4001,27,39.43736033,68463
34658,2013,4003,28,24.70290347,113347
34659,2013,4005,39,31.26352749,124746
34660,2013,4007,18,41.0443507,43855
34661,2013,4009,7,20.05730659,34900
34662,2013,4011,1,12.52818842,7982
34663,2013,4012,4,20.58884085,19428
34664,2013,4013,631,16.57385135,3807202
34665,2013,4015,76,44.16473446,172083
34666,2013,4017,23,24.27824985,94735
34667,2013,4019,186,19.74604044,941961
34668,2013,4021,57,16.89224231,337433
34669,2013,4023,7,17.22907283,40629
34670,2013,4025,53,25.93348306,204369
34671,2013,4027,19,10.59363378,179353
34672,2013,5001,3,18.1598063,16520
34673,2013,5003,2,11.00957833,18166
34674,2013,5005,16,42.00246764,38093
34675,2013,5007,33,15.91803658,207312
34676,2013,5009,12,34.51251079,34770
34677,2013,5013,2,44.2086649,4524
34678,2013,5015,8,32.55340793,24575
34679,2013,5019,2,11.34880554,17623
34680,2013,5021,6,40.03469674,14987
34681,2013,5023,5,20.01681412,24979
34682,2013,5025,1,13.43002955,7446
34683,2013,5027,6,28.86002886,20790
34684,2013,5029,2,10.2150263,19579
34685,2013,5031,21,23.34967811,89937
34686,2013,5033,14,22.93164731,61051
34687,2013,5035,5,11.20146963,44637
34688,2013,5037,2,12.74372372,15694
34689,2013,5043,3,19.11314985,15696
34690,2013,5045,17,15.25498255,111439
34691,2013,5047,5,30.91954734,16171
34692,2013,5049,1,9.184423218,10888
34693,2013,5051,23,26.29352722,87474
34694,2013,5055,10,25.8137794,38739
34695,2013,5057,6,28.85170225,20796
34696,2013,5059,8,26.16687927,30573
34697,2013,5061,2,15.66538733,12767
34698,2013,5063,8,23.34948339,34262
34699,2013,5065,4,31.54076644,12682
34700,2013,5067,3,19.52489424,15365
34701,2013,5069,6,8.830022075,67950
34702,2013,5071,2,8.009932316,24969
34703,2013,5073,4,61.8333591,6469
34704,2013,5075,3,18.42072946,16286
34705,2013,5077,1,12.70325203,7872
34706,2013,5079,2,14.93094438,13395
34707,2013,5083,4,21.36523876,18722
34708,2013,5085,6,9.806966215,61181
34709,2013,5087,8,52.12405525,15348
34710,2013,5089,4,27.02337522,14802
34711,2013,5091,2,4.859913008,41153
34712,2013,5093,9,22.18661408,40565
34713,2013,5097,2,22.64749179,8831
34714,2013,5099,6,75.83417594,7912
34715,2013,5101,2,27.20348205,7352
34716,2013,5103,7,30.24019354,23148
34717,2013,5105,5,53.71723249,9308
34718,2013,5107,2,12.38313417,16151
34719,2013,5109,3,30.94378546,9695
34720,2013,5111,3,13.42942835,22339
34721,2013,5113,5,25.13320599,19894
34722,2013,5115,10,17.27772211,57878
34723,2013,5119,72,19.97791331,360398
34724,2013,5123,4,16.89189189,23680
34725,2013,5125,15,14.26357179,105163
